variable,description,type,valeurs
"genre,Genre du répondant,catégorielle,""Femme; Homme; Autre; Je ne souhaite pas répondre"""
"situation_academique,Situation académique du répondant,catégorielle,""Secondaires; Bac; Master; Doctorat; Je ne suis plus aux études; Autre"""
"domaine_etude,Domaine d'expertise du répondant,catégorielle,""Sciences politiques, sociales, économiques, de communication; Sciences; Droit; Philosophie, arts et lettres; Ingénieur civil / industriel; Ingénieur agronomique; Gestion (ingénieur); Sciences de la santé (Medecine / dentisterie / kinésitérapeute / ...); Sciences de l’éducation; Psychologie; Sciences du sport; Cinéma/ image/ son / théâtre; Informatique; Autre / Je ne suis pas concerné; Andere"""
"a_deja_vecu_kot,A déjà vécu en kot/studio (hors chez les parents),binaire,""Oui; Non"""
"region_domicile,Type de région de domicile,catégorielle,""Urbaine; Périurbaine; Rurale"""
"intention_erasmus,Souhaite partir (ou refaire) un Erasmus,catégorielle,""Oui; Peut-être; Non"""

"facteur_budget,Influence du budget dans le choix de ne pas faire d’échange,ordinal,""1=Très peu; 2=Peu; 3=Modérément; 4=Fort; 5=Très fort"""
"facteur_barriere_langue,Influence de la barrière de la langue,ordinal,""1=Très peu; 2=Peu; 3=Modérément; 4=Fort; 5=Très fort"""
"facteur_loin_famille,Influence du fait d’être loin de la famille,ordinal,""1=Très peu; 2=Peu; 3=Modérément; 4=Fort; 5=Très fort"""
"facteur_relation_amoureuse,Influence d’une relation amoureuse,ordinal,""1=Très peu; 2=Peu; 3=Modérément; 4=Fort; 5=Très fort"""
"facteur_climat,Influence du climat (météo),ordinal,""1=Très peu; 2=Peu; 3=Modérément; 4=Fort; 5=Très fort"""
"facteur_culture,Influence de la différence culturelle,ordinal,""1=Très peu; 2=Peu; 3=Modérément; 4=Fort; 5=Très fort"""
"facteur_alimentation,Influence de la différence alimentaire,ordinal,""1=Très peu; 2=Peu; 3=Modérément; 4=Fort; 5=Très fort"""
"facteur_confort,Influence du confort,ordinal,""1=Très peu; 2=Peu; 3=Modérément; 4=Fort; 5=Très fort"""
"facteur_craintes_sociales,Influence des craintes sociales,ordinal,""1=Très peu; 2=Peu; 3=Modérément; 4=Fort; 5=Très fort"""
"facteur_organisation,Influence de l’organisation (cours, logement, etc.),ordinal,""1=Très peu; 2=Peu; 3=Modérément; 4=Fort; 5=Très fort"""

"classement_zone_preferee,Zone classée comme préférée (rang 1) parmi une liste,categorielle,""Scandinavie (Pays du nord de l'Europe); Europe occidentale; Afrique du Nord; Asie de l'Est; Asie (centrale/ du Sud); Océanie; Amérique latine; Amérique du Nord (US et Canada); Europe de l'Est; Afrique Sub-Saharienne"""

"destination_ideale_en_tete,A une destination idéale en tête,binaire,""Oui; Non"""
"destination_ideale,Pays cité comme destination idéale,texte,""Réponse libre"""
"lien_destination,Lien particulier avec le pays cité (familial/expériences/amis),binaire,""Oui; Non"""

"importance_culture_locale,Importance de la culture locale dans la décision,ordinal,""1=Très peu; 2=Peu; 3=Modérément; 4=Fort; 5=Très fort"""
"importance_langue_locale,Importance de la langue locale,ordinal,""1=Très peu; 2=Peu; 3=Modérément; 4=Fort; 5=Très fort"""
"importance_prestige_universites,Importance du prestige des universités,ordinal,""1=Très peu; 2=Peu; 3=Modérément; 4=Fort; 5=Très fort"""
"importance_offre_universites,Importance de l’offre des universités,ordinal,""1=Très peu; 2=Peu; 3=Modérément; 4=Fort; 5=Très fort"""
"importance_distance_origine,Importance de la distance par rapport à l’université d’origine,ordinal,""1=Très peu; 2=Peu; 3=Modérément; 4=Fort; 5=Très fort"""
"importance_politique_pays,Importance de la politique du pays,ordinal,""1=Très peu; 2=Peu; 3=Modérément; 4=Fort; 5=Très fort"""
"importance_cout_vie,Importance du coût de la vie sur place,ordinal,""1=Très peu; 2=Peu; 3=Modérément; 4=Fort; 5=Très fort"""
"importance_richesse_pays,Importance du niveau de richesse du pays,ordinal,""1=Très peu; 2=Peu; 3=Modérément; 4=Fort; 5=Très fort"""
"importance_climat_destination,Importance du climat (météo) de la destination,ordinal,""1=Très peu; 2=Peu; 3=Modérément; 4=Fort; 5=Très fort"""
"importance_agencement_villes,Importance de l’agencement des villes (piétonnier/transports),ordinal,""1=Très peu; 2=Peu; 3=Modérément; 4=Fort; 5=Très fort"""
"importance_impact_climatique_trajet,Importance de l’impact climatique du trajet (avion/train),ordinal,""1=Très peu; 2=Peu; 3=Modérément; 4=Fort; 5=Très fort"""
"importance_subside,Importance du subside (bourse d’échange),ordinal,""1=Très peu; 2=Peu; 3=Modérément; 4=Fort; 5=Très fort"""
"importance_aide_topup_ecoresponsable,Importance de l’aide top-up écoresponsable (transport durable),ordinal,""1=Très peu; 2=Peu; 3=Modérément; 4=Fort; 5=Très fort"""
"importance_securite,Importance de la sécurité de la vie sur place,ordinal,""1=Très peu; 2=Peu; 3=Modérément; 4=Fort; 5=Très fort"""

"commentaire,Remarque finale laissée par le répondant,texte,""Réponse libre"""
